Endpoint,버전,Method,설명,Request Body,Response 200,Response 400,Response 401,Response 409,Status Codes,담당자,상태
/api/v1/accounts/signup,V1,POST,회원가입,"email(string), password(string), nickname(string), name(string), birthday(date), gender(M/F), email_token(string), sms_token(string)","user_id, email, nickname, created_at",필수필드 누락 또는 형식오류,인증토큰 오류,중복된 이메일,"201 Created, 400 Bad Request, 401 Unauthorized, 409 Conflict",,대기중
/api/v1/accounts/login,V1,POST,로그인,"email(string), password(string)","access_token, refresh_token, user_id, email",필수필드 누락,이메일 또는 비밀번호 오류,,"200 OK, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/accounts/token/refresh,V1,POST,토큰 갱신,refresh_token(string),"access_token, expires_at",,만료되거나 유효하지않은 토큰,,"200 OK, 401 Unauthorized",,대기중
/api/v1/accounts/logout,V1,POST,로그아웃,,"message: 로그아웃 성공",,유효하지않은 토큰,,"200 OK, 401 Unauthorized",,대기중
/api/v1/auth/google/login,V1,GET,구글 소셜 로그인 시작,redirect_uri(string),구글 OAuth 페이지로 리다이렉트,,,,"302 Redirect",,대기중
/api/v1/auth/google/callback,V1,GET,구글 소셜 로그인 콜백,"code(string), state(string)","access_token, refresh_token, user_id, email, name, profile_image, is_new_user",인증 코드 오류,토큰 교환 실패,,"200 OK, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/auth/kakao/login,V1,GET,카카오 소셜 로그인 시작,redirect_uri(string),카카오 OAuth 페이지로 리다이렉트,,,,"302 Redirect",,대기중
/api/v1/auth/kakao/callback,V1,GET,카카오 소셜 로그인 콜백,code(string),"access_token, refresh_token, user_id, email, nickname, profile_image, is_new_user",인증 코드 오류,토큰 교환 실패,,"200 OK, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/profile,V1,POST,건강 프로필 등록,"diseases(array), allergies(array), medications(array)","profile_id, created_at",필수필드 누락,인증 실패,,"201 Created, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/profile,V1,GET,건강 프로필 조회,,"profile_id, diseases, allergies, medications, updated_at",,인증 실패,,"200 OK, 401 Unauthorized, 404 Not Found",,대기중
/api/v1/profile,V1,PUT,건강 프로필 수정,"diseases(array), allergies(array), medications(array)","profile_id, updated_at",유효성 검증 실패,인증 실패,,"200 OK, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/profile,V1,DELETE,건강 프로필 삭제,,"message: 삭제 완료",,인증 실패,,"204 No Content, 401 Unauthorized, 404 Not Found",,대기중
/api/v1/vision/identify,V1,POST,알약 이미지 인식,image(file),"pill_name, ingredients, confidence, classification",이미지 형식 오류,,"200 OK, 400 Bad Request",,대기중
/api/v1/vision/history,V1,GET,알약 인식 이력 조회,,"items[], pagination",,인증 실패,,"200 OK, 401 Unauthorized",,대기중
/api/v1/ocr/prescription,V1,POST,처방전 OCR,image(file),"medications[], dosage[], frequency[], notes[]",이미지 형식 오류,,"200 OK, 400 Bad Request",,대기중
/api/v1/prescriptions,V1,POST,처방전 업로드,"image(file), ocr_result(object)","prescription_id, image_url, created_at",필수필드 누락,인증 실패,,"201 Created, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/prescriptions,V1,GET,처방전 목록 조회,,"items[], pagination",,인증 실패,,"200 OK, 401 Unauthorized",,대기중
/api/v1/prescriptions/{id},V1,GET,처방전 상세 조회,,"prescription_id, image_url, medications, status, created_at",,인증 실패,,"200 OK, 401 Unauthorized, 404 Not Found",,대기중
/api/v1/prescriptions/{id},V1,DELETE,처방전 삭제,,"message: 삭제 완료",,인증 실패,,"204 No Content, 401 Unauthorized, 404 Not Found",,대기중
/api/v1/guide/generate,V1,POST,복약 가이드 생성,"medications(array), profile(object)","guide_text, precautions, lifestyle_tips",필수필드 누락,인증 실패,,"200 OK, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/guide/translate,V1,POST,의학 용어 번역,medical_term(string),"translated_text, original_term",필수필드 누락,,"200 OK, 400 Bad Request",,대기중
/api/v1/chatbot/query,V1,POST,챗봇 질문,question(string),"answer, sources[], confidence",,인증 실패,,"200 OK, 401 Unauthorized",,대기중
/api/v1/chatbot/history,V1,GET,챗봇 대화 이력,,"items[], pagination",,인증 실패,,"200 OK, 401 Unauthorized",,대기중
/api/v1/notifications,V1,POST,복약 알림 생성,"medication_id, schedule(array)","notification_id, created_at",필수필드 누락,인증 실패,,"201 Created, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/notifications,V1,GET,알림 목록 조회,,"items[], pagination",,인증 실패,,"200 OK, 401 Unauthorized",,대기중
/api/v1/notifications/{id},V1,PUT,알림 수정,schedule(array),"notification_id, updated_at",유효성 검증 실패,인증 실패,,"200 OK, 400 Bad Request, 401 Unauthorized",,대기중
/api/v1/notifications/{id},V1,DELETE,알림 삭제,,"message: 삭제 완료",,인증 실패,,"204 No Content, 401 Unauthorized",,대기중
/api/v1/medication-history,V1,GET,복약 이력 조회,,"items[], pagination",,인증 실패,,"200 OK, 401 Unauthorized",,대기중
/api/v1/medication-history/{id},V1,GET,이력 상세 조회,,"history_id, medication, taken_at, status",,인증 실패,,"200 OK, 401 Unauthorized, 404 Not Found",,대기중
/api/v1/compliance/report,V1,GET,순응도 리포트,,"compliance_rate, weekly_data[], monthly_data[]",,인증 실패,,"200 OK, 401 Unauthorized",,대기중
